time;Isotope value for the month
1.998000000000000000e+03;-2.233771273479300490e+01
1.998083333333333258e+03;-2.319352902934450000e+01
1.998166666666666742e+03;-2.390811086491902770e+01
1.998250000000000000e+03;-2.388214033031718841e+01
1.998333333333333258e+03;-2.327898142541795323e+01
1.998416666666666742e+03;-2.279626618174730623e+01
1.998500000000000000e+03;-2.365612001382880436e+01
1.998583333333333258e+03;-2.360637209719138596e+01
1.998666666666666742e+03;-2.332272044493287311e+01
1.998750000000000000e+03;-2.292950648548977099e+01
1.998833333333333258e+03;-2.236079648209657833e+01
1.998916666666666742e+03;-2.171228303284756933e+01
1.999000000000000000e+03;-2.218528348741223510e+01
1.999083333333333258e+03;-2.289328072768940103e+01
1.999166666666666742e+03;-2.359061787174459468e+01
1.999250000000000000e+03;-2.364602638507412991e+01
1.999333333333333258e+03;-2.340743823970083071e+01
1.999416666666666742e+03;-2.295797420491316387e+01
1.999500000000000000e+03;-2.313968707679144998e+01
1.999583333333333258e+03;-2.331456635448064318e+01
1.999666666666666742e+03;-2.336587342288200730e+01
1.999750000000000000e+03;-2.283985761664266434e+01
1.999833333333333258e+03;-2.231463370899021825e+01
1.999916666666666742e+03;-2.190775503210403841e+01
2.000000000000000000e+03;-2.218903592524154078e+01
2.000083333333333258e+03;-2.272405090364165758e+01
2.000166666666666742e+03;-2.328896477411415233e+01
2.000250000000000000e+03;-2.358576958290894865e+01
2.000333333333333258e+03;-2.344159333859376559e+01
2.000416666666666742e+03;-2.298878331677730458e+01
2.000500000000000000e+03;-2.315551964928217643e+01
2.000583333333333258e+03;-2.314501691160224439e+01
2.000666666666666742e+03;-2.279711165752998880e+01
2.000750000000000000e+03;-2.257876200806057199e+01
2.000833333333333258e+03;-2.211188278157613851e+01
2.000916666666666742e+03;-2.190983858828791497e+01
2.001000000000000000e+03;-2.213148616963580650e+01
2.001083333333333258e+03;-2.292909422427374722e+01
2.001166666666666742e+03;-2.320887938192916522e+01
2.001250000000000000e+03;-2.340843784205766553e+01
2.001333333333333258e+03;-2.303876317635891624e+01
2.001416666666666742e+03;-2.258427123288769423e+01
2.001500000000000000e+03;-2.291535921575722057e+01
2.001583333333333258e+03;-2.269096592715037275e+01
2.001666666666666742e+03;-2.267626134159719342e+01
2.001750000000000000e+03;-2.259355829745605604e+01
2.001833333333333258e+03;-2.228278479700168191e+01
2.001916666666666742e+03;-2.191615787712274255e+01
2.002000000000000000e+03;-2.202467758741736148e+01
2.002083333333333258e+03;-2.289917043156860643e+01
2.002166666666666742e+03;-2.331056291417927184e+01
2.002250000000000000e+03;-2.344097451223917972e+01
2.002333333333333258e+03;-2.291766000376373924e+01
2.002416666666666742e+03;-2.308924906612073613e+01
2.002500000000000000e+03;-2.371217664414118786e+01
2.002583333333333258e+03;-2.383662462364815582e+01
2.002666666666666742e+03;-2.425961394064139398e+01
2.002750000000000000e+03;-2.354169475075918427e+01
2.002833333333333258e+03;-2.253250836617528918e+01
2.002916666666666742e+03;-2.151165330942937004e+01
2.003000000000000000e+03;-2.238100485894353042e+01
2.003083333333333258e+03;-2.271230476620093341e+01
2.003166666666666742e+03;-2.329866308441317813e+01
2.003250000000000000e+03;-2.398120088070553280e+01
2.003333333333333258e+03;-2.391400728325012182e+01
2.003416666666666742e+03;-2.383239181687375563e+01
2.003500000000000000e+03;-2.344440890167980740e+01
2.003583333333333258e+03;-2.318416807272432578e+01
2.003666666666666742e+03;-2.324126507662689534e+01
2.003750000000000000e+03;-2.265176265930490729e+01
2.003833333333333258e+03;-2.220302602839959505e+01
2.003916666666666742e+03;-2.162762343953502508e+01
2.004000000000000000e+03;-2.217900096925978204e+01
2.004083333333333258e+03;-2.291214894684923564e+01
2.004166666666666742e+03;-2.332989044233407938e+01
2.004250000000000000e+03;-2.329691065987385201e+01
2.004333333333333258e+03;-2.268415393846258610e+01
2.004416666666666742e+03;-2.271921436226710611e+01
2.004500000000000000e+03;-2.326128475990048017e+01
2.004583333333333258e+03;-2.356281326334623571e+01
2.004666666666666742e+03;-2.332352752061379775e+01
2.004750000000000000e+03;-2.339718454930384794e+01
2.004833333333333258e+03;-2.227514758955020824e+01
2.004916666666666742e+03;-2.178769602662949012e+01
2.005000000000000000e+03;-2.232001289082787210e+01
2.005083333333333258e+03;-2.339277442625565939e+01
2.005166666666666742e+03;-2.334163899682809529e+01
2.005250000000000000e+03;-2.344087180047684527e+01
2.005333333333333258e+03;-2.279408538031512776e+01
2.005416666666666742e+03;-2.284544510420574071e+01
2.005500000000000000e+03;-2.311869626218517837e+01
2.005583333333333258e+03;-2.334283835691893216e+01
2.005666666666666742e+03;-2.311950396369244132e+01
2.005750000000000000e+03;-2.291496728497681801e+01
2.005833333333333258e+03;-2.197566214033761511e+01
2.005916666666666742e+03;-2.149132544387382993e+01
2.006000000000000000e+03;-2.209806643767468515e+01
2.006083333333333258e+03;-2.279654795520555410e+01
2.006166666666666742e+03;-2.333544116045985106e+01
2.006250000000000000e+03;-2.347243135513802414e+01
2.006333333333333258e+03;-2.364014889546069398e+01
2.006416666666666742e+03;-2.276308197917315468e+01
2.006500000000000000e+03;-2.335540253340676387e+01
2.006583333333333258e+03;-2.327570042345110579e+01
2.006666666666666742e+03;-2.435342114001073099e+01
2.006750000000000000e+03;-2.441885736780018945e+01
2.006833333333333258e+03;-2.265566789632458722e+01
2.006916666666666742e+03;-2.181770581355213778e+01
2.007000000000000000e+03;-2.187016839968695336e+01
2.007083333333333258e+03;-2.267753058760862928e+01
2.007166666666666742e+03;-2.313995839749167871e+01
2.007250000000000000e+03;-2.354643324640461088e+01
2.007333333333333258e+03;-2.307918512107150377e+01
2.007416666666666742e+03;-2.281696894555464539e+01
2.007500000000000000e+03;-2.273399482798748394e+01
2.007583333333333258e+03;-2.261675681153476347e+01
2.007666666666666742e+03;-2.237694804357363765e+01
2.007750000000000000e+03;-2.249964287756472814e+01
2.007833333333333258e+03;-2.223076592017693898e+01
2.007916666666666742e+03;-2.163883778155475568e+01
2.008000000000000000e+03;-2.195075960478324717e+01
2.008083333333333258e+03;-2.260957925384838063e+01
2.008166666666666742e+03;-2.327259473767083620e+01
2.008250000000000000e+03;-2.393054565010918466e+01
2.008333333333333258e+03;-2.331176106874117337e+01
2.008416666666666742e+03;-2.280319163578380426e+01
2.008500000000000000e+03;-2.310873840772380916e+01
2.008583333333333258e+03;-2.266893601212684572e+01
2.008666666666666742e+03;-2.244454624182357705e+01
2.008750000000000000e+03;-2.280877327534500409e+01
2.008833333333333258e+03;-2.203249236949601553e+01
2.008916666666666742e+03;-2.172769699974705304e+01
2.009000000000000000e+03;-2.217612276342000399e+01
2.009083333333333258e+03;-2.300136743970961462e+01
2.009166666666666742e+03;-2.315981260318270074e+01
2.009250000000000000e+03;-2.324390412132461492e+01
2.009333333333333258e+03;-2.342480727499965809e+01
2.009416666666666742e+03;-2.280717953066589487e+01
2.009500000000000000e+03;-2.300714965073491314e+01
2.009583333333333258e+03;-2.338033637844564439e+01
2.009666666666666742e+03;-2.442574740608113615e+01
2.009750000000000000e+03;-2.307036557662746290e+01
2.009833333333333258e+03;-2.230488970781849289e+01
2.009916666666666742e+03;-2.165900721148585006e+01
2.010000000000000000e+03;-2.204044842976796303e+01
2.010083333333333258e+03;-2.290327848918925469e+01
2.010166666666666742e+03;-2.344018055181911819e+01
2.010250000000000000e+03;-2.333453634894365436e+01
2.010333333333333258e+03;-2.301811348216777731e+01
2.010416666666666742e+03;-2.284789851864734445e+01
2.010500000000000000e+03;-2.302223496952768755e+01
2.010583333333333258e+03;-2.294423602244197724e+01
2.010666666666666742e+03;-2.223362150722891073e+01
2.010750000000000000e+03;-2.274663922398813298e+01
2.010833333333333258e+03;-2.252397914459735517e+01
2.010916666666666742e+03;-2.195567865378507832e+01
2.011000000000000000e+03;-2.215351523756965690e+01
2.011083333333333258e+03;-2.261572848827196225e+01
2.011166666666666742e+03;-2.308951620827725293e+01
2.011250000000000000e+03;-2.330808613015572561e+01
2.011333333333333258e+03;-2.329869478821610329e+01
2.011416666666666742e+03;-2.310131314583580320e+01
2.011500000000000000e+03;-2.312573670001539838e+01
2.011583333333333258e+03;-2.301027698302572944e+01
2.011666666666666742e+03;-2.297075733741582226e+01
2.011750000000000000e+03;-2.274856683075637065e+01
2.011833333333333258e+03;-2.251896293138536720e+01
2.011916666666666742e+03;-2.191703441483486969e+01
2.012000000000000000e+03;-2.189175249754582353e+01
2.012083333333333258e+03;-2.285412763042847573e+01
2.012166666666666742e+03;-2.316928342622987103e+01
2.012250000000000000e+03;-2.332090015813671968e+01
2.012333333333333258e+03;-2.326063706161149369e+01
2.012416666666666742e+03;-2.347416532324747962e+01
2.012500000000000000e+03;-2.391427937919836921e+01
2.012583333333333258e+03;-2.343664738890678834e+01
2.012666666666666742e+03;-2.314395412260181217e+01
2.012750000000000000e+03;-2.272811581489884603e+01
2.012833333333333258e+03;-2.253492318956826779e+01
2.012916666666666742e+03;-2.196833206782571679e+01
2.013000000000000000e+03;-2.219645624904106640e+01
2.013083333333333258e+03;-2.258270492802860474e+01
2.013166666666666742e+03;-2.323626965295371960e+01
2.013250000000000000e+03;-2.313074165966693485e+01
2.013333333333333258e+03;-2.277856729820910786e+01
2.013416666666666742e+03;-2.332999024363198259e+01
2.013500000000000000e+03;-2.331035623568729420e+01
2.013583333333333258e+03;-2.305148471147295552e+01
2.013666666666666742e+03;-2.272871350058524698e+01
2.013750000000000000e+03;-2.287663313732290504e+01
2.013833333333333258e+03;-2.245091942175383792e+01
2.013916666666666742e+03;-2.206328785751242094e+01
2.014000000000000000e+03;-2.223361780428261270e+01
2.014083333333333258e+03;-2.353507170453675812e+01
2.014166666666666742e+03;-2.379183374444751919e+01
2.014250000000000000e+03;-2.359105467500472031e+01
2.014333333333333258e+03;-2.332616085051972021e+01
2.014416666666666742e+03;-2.267873757805486790e+01
2.014500000000000000e+03;-2.369422343773610251e+01
2.014583333333333258e+03;-2.326116226081811433e+01
2.014666666666666742e+03;-2.369831150647177864e+01
2.014750000000000000e+03;-2.347122462655913822e+01
2.014833333333333258e+03;-2.267750452473111977e+01
2.014916666666666742e+03;-2.181027574901456845e+01
2.015000000000000000e+03;-2.201145039418882376e+01
2.015083333333333258e+03;-2.283651329513467232e+01
2.015166666666666742e+03;-2.318538374934002277e+01
2.015250000000000000e+03;-2.353042743641154289e+01
2.015333333333333258e+03;-2.326118945785010794e+01
2.015416666666666742e+03;-2.328957590323009441e+01
2.015500000000000000e+03;-2.341933457357430726e+01
2.015583333333333258e+03;-2.365705971741860481e+01
2.015666666666666742e+03;-2.440743400485092707e+01
2.015750000000000000e+03;-2.375146898592280564e+01
2.015833333333333258e+03;-2.260984873503609904e+01
2.015916666666666742e+03;-2.212377084164128860e+01
2.016000000000000000e+03;-2.207755572069936889e+01
2.016083333333333258e+03;-2.268874182424125152e+01
2.016166666666666742e+03;-2.329859394148149221e+01
2.016250000000000000e+03;-2.346825119677421156e+01
2.016333333333333258e+03;-2.363760842344400004e+01
2.016416666666666742e+03;-2.302889438460535132e+01
2.016500000000000000e+03;-2.355235404479207517e+01
2.016583333333333258e+03;-2.301355587365561206e+01
2.016666666666666742e+03;-2.283030140380726536e+01
2.016750000000000000e+03;-2.242921317126488390e+01
2.016833333333333258e+03;-2.228932501471175698e+01
2.016916666666666742e+03;-2.185909869738935285e+01
2.017000000000000000e+03;-2.242087426804088324e+01
2.017083333333333258e+03;-2.270636347536229493e+01
2.017166666666666742e+03;-2.308669085547652600e+01
2.017250000000000000e+03;-2.346881493378875660e+01
2.017333333333333258e+03;-2.292288837660744250e+01
2.017416666666666742e+03;-2.288481535641246012e+01
2.017500000000000000e+03;-2.336023779456176541e+01
2.017583333333333258e+03;-2.364522396461779508e+01
2.017666666666666742e+03;-2.258360036375365709e+01
2.017750000000000000e+03;-2.269359542730591173e+01
2.017833333333333258e+03;-2.258168654159775812e+01
2.017916666666666742e+03;-2.199315305520916297e+01
2.018000000000000000e+03;-2.221720500902229034e+01
2.018083333333333258e+03;-2.288526329925442582e+01
2.018166666666666742e+03;-2.305894935804776580e+01
2.018250000000000000e+03;-2.359197188369808984e+01
2.018333333333333258e+03;-2.374676623494456962e+01
2.018416666666666742e+03;-2.308627673221829113e+01
2.018500000000000000e+03;-2.365453568133068885e+01
2.018583333333333258e+03;-2.358186663377036041e+01
2.018666666666666742e+03;-2.311032059793658178e+01
2.018750000000000000e+03;-2.314688004447589975e+01
2.018833333333333258e+03;-2.234678084855208269e+01
2.018916666666666742e+03;-2.218784711998612735e+01
2.019000000000000000e+03;-2.258418106786205115e+01
2.019083333333333258e+03;-2.299416948507462166e+01
2.019166666666666742e+03;-2.326701533778254216e+01
2.019250000000000000e+03;-2.330337231990189295e+01
2.019333333333333258e+03;-2.350819842146097827e+01
2.019416666666666742e+03;-2.305290496250212229e+01
2.019500000000000000e+03;-2.407814280010148522e+01
2.019583333333333258e+03;-2.389328476721976102e+01
2.019666666666666742e+03;-2.394244296714450471e+01
2.019750000000000000e+03;-2.371224582192797570e+01
2.019833333333333258e+03;-2.347893779363771216e+01
2.019916666666666742e+03;-2.281046306056984108e+01
2.020000000000000000e+03;-2.269386676201719766e+01
2.020083333333333258e+03;-2.286404544435789887e+01
2.020166666666666742e+03;-2.324825600662482827e+01
2.020250000000000000e+03;-2.349711888019495731e+01
2.020333333333333258e+03;-2.306103623896071753e+01
2.020416666666666742e+03;-2.333777812710397725e+01
2.020500000000000000e+03;-2.342408636443037651e+01
2.020583333333333258e+03;-2.348005460942644973e+01
2.020666666666666742e+03;-2.288751850212972272e+01
2.020750000000000000e+03;-2.267533328100595114e+01
2.020833333333333258e+03;-2.267466777124537458e+01
2.020916666666666742e+03;-2.208996957071603262e+01
2.021000000000000000e+03;-2.226910285516456867e+01
2.021083333333333258e+03;-2.277387188778822136e+01
2.021166666666666742e+03;-2.320299062457492312e+01
2.021250000000000000e+03;-2.324898841816832373e+01
2.021333333333333258e+03;-2.311248957750645872e+01
2.021416666666666742e+03;-2.312534659701801942e+01
2.021500000000000000e+03;-2.417410626389332151e+01
2.021583333333333258e+03;-2.457299408073938807e+01
2.021666666666666742e+03;-2.276837787023131554e+01
2.021750000000000000e+03;-2.280732635487236237e+01
2.021833333333333258e+03;-2.249767971049105952e+01
2.021916666666666742e+03;-2.231856323179377100e+01
