,oil,gas,coal,geological,total
2000-01-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-02-01,2.8053658,2.2225459,1.7630998,1.7583333333333335,8.549344833333334
2000-03-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-04-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-05-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-06-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-07-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-08-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-09-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-10-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2000-11-01,2.9021032,2.2991853,1.8238964,1.7583333333333335,8.783518233333334
2000-12-01,2.9988394,2.3758247,1.8846929,1.7583333333333335,9.017690333333334
2001-01-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-02-01,2.6079414,2.2177393,1.7750616,1.7583333333333335,8.359075633333333
2001-03-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-04-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-05-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-06-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-07-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-08-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-09-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-10-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2001-11-01,2.794223,2.3761494,1.9018515,1.7583333333333335,8.830557233333334
2001-12-01,2.8873637,2.4553542,1.9652469,1.7583333333333335,9.066298133333333
2002-01-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-02-01,2.3877792,2.3036075,1.7852898,1.7583333333333335,8.235009833333335
2002-03-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-04-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-05-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-06-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-07-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-08-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-09-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-10-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2002-11-01,2.5583348,2.4681509,1.9128104,1.7583333333333335,8.697629433333333
2002-12-01,2.6436126,2.5504224,1.9765708,1.7583333333333335,8.928939133333333
2003-01-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-02-01,2.61711,2.3956742,1.9474286,1.7583333333333335,8.718546133333334
2003-03-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-04-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-05-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-06-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-07-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-08-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-09-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-10-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2003-11-01,2.8040464,2.5667937,2.0865304,1.7583333333333335,9.215703833333333
2003-12-01,2.8975146,2.6523533,2.1560814,1.7583333333333335,9.464282633333333
2004-01-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-02-01,2.66287,2.5584915,2.2053716,1.7583333333333335,9.185066433333333
2004-03-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-04-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-05-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-06-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-07-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-08-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-09-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-10-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2004-11-01,2.7546928,2.6467152,2.2814186,1.7583333333333335,9.441159933333333
2004-12-01,2.8465161,2.7349389,2.357466,1.7583333333333335,9.697254333333333
2005-01-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-02-01,2.5679328,2.53956,2.3156726,1.7583333333333335,9.181498733333333
2005-03-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-04-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-05-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-06-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-07-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-08-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-09-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-10-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2005-11-01,2.7513568,2.720957,2.4810774,1.7583333333333335,9.711724533333333
2005-12-01,2.8430686,2.8116558,2.5637805,1.7583333333333335,9.976838233333332
2006-01-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-02-01,2.5402539,2.6437595,2.4365685,1.7583333333333335,9.378915233333332
2006-03-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-04-01,2.721701,2.8325996,2.610609,1.7583333333333335,9.923242933333333
2006-05-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-06-01,2.721701,2.8325996,2.610609,1.7583333333333335,9.923242933333333
2006-07-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-08-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-09-01,2.721701,2.8325996,2.610609,1.7583333333333335,9.923242933333333
2006-10-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2006-11-01,2.721701,2.8325996,2.610609,1.7583333333333335,9.923242933333333
2006-12-01,2.8124242,2.9270196,2.6976292,1.7583333333333335,10.195406333333333
2007-01-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-02-01,2.3744853,2.7279797,2.5258396,1.7583333333333335,9.386637933333333
2007-03-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-04-01,2.5440912,2.9228354,2.7062569,1.7583333333333335,9.931516833333333
2007-05-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-06-01,2.5440912,2.9228354,2.7062569,1.7583333333333335,9.931516833333333
2007-07-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-08-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-09-01,2.5440912,2.9228354,2.7062569,1.7583333333333335,9.931516833333333
2007-10-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2007-11-01,2.5440912,2.9228354,2.7062569,1.7583333333333335,9.931516833333333
2007-12-01,2.6288948,3.0202637,2.7964654,1.7583333333333335,10.203957233333334
2008-01-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-02-01,2.5068042,2.9315207,2.6435091,1.7583333333333335,9.840167333333333
2008-03-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-04-01,2.5932455,3.0326076,2.7346644,1.7583333333333335,10.118850833333333
2008-05-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-06-01,2.5932455,3.0326076,2.7346644,1.7583333333333335,10.118850833333333
2008-07-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-08-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-09-01,2.5932455,3.0326076,2.7346644,1.7583333333333335,10.118850833333333
2008-10-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2008-11-01,2.5932455,3.0326076,2.7346644,1.7583333333333335,10.118850833333333
2008-12-01,2.6796873,3.1336946,2.8258197,1.7583333333333335,10.397534933333333
2009-01-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-02-01,2.3368454,2.7886505,2.5624008,1.7583333333333335,9.446230033333334
2009-03-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-04-01,2.5037627,2.9878395,2.7454293,1.7583333333333335,9.995364833333333
2009-05-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-06-01,2.5037627,2.9878395,2.7454293,1.7583333333333335,9.995364833333333
2009-07-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-08-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-09-01,2.5037627,2.9878395,2.7454293,1.7583333333333335,9.995364833333333
2009-10-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2009-11-01,2.5037627,2.9878395,2.7454293,1.7583333333333335,9.995364833333333
2009-12-01,2.5872214,3.0874343,2.8369436,1.7583333333333335,10.269932633333333
2010-01-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-02-01,2.339472,2.9267302,2.701344,1.7583333333333335,9.725879533333334
2010-03-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-04-01,2.5065773,3.1357822,2.894297,1.7583333333333335,10.294989833333332
2010-05-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-06-01,2.5065773,3.1357822,2.894297,1.7583333333333335,10.294989833333332
2010-07-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-08-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-09-01,2.5065773,3.1357822,2.894297,1.7583333333333335,10.294989833333332
2010-10-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2010-11-01,2.5065773,3.1357822,2.894297,1.7583333333333335,10.294989833333332
2010-12-01,2.59013,3.2403088,2.9907734,1.7583333333333335,10.579545533333333
2011-01-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-02-01,2.334573,3.0031397,2.9793737,1.7583333333333335,10.075419733333334
2011-03-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-04-01,2.5013275,3.2176497,3.1921864,1.7583333333333335,10.669496933333333
2011-05-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-06-01,2.5013275,3.2176497,3.1921864,1.7583333333333335,10.669496933333333
2011-07-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-08-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-09-01,2.5013275,3.2176497,3.1921864,1.7583333333333335,10.669496933333333
2011-10-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2011-11-01,2.5013275,3.2176497,3.1921864,1.7583333333333335,10.669496933333333
2011-12-01,2.5847056,3.3249052,3.2985926,1.7583333333333335,10.966536733333331
2012-01-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-02-01,2.463982,3.1537066,3.1617804,1.7583333333333335,10.537802333333333
2012-03-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-04-01,2.5489466,3.2624545,3.270807,1.7583333333333335,10.840541433333332
2012-05-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-06-01,2.5489466,3.2624545,3.270807,1.7583333333333335,10.840541433333332
2012-07-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-08-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-09-01,2.5489466,3.2624545,3.270807,1.7583333333333335,10.840541433333332
2012-10-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2012-11-01,2.5489466,3.2624545,3.270807,1.7583333333333335,10.840541433333332
2012-12-01,2.6339118,3.3712032,3.3798344,1.7583333333333335,11.143282733333333
2013-01-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-02-01,2.3329568,3.1143737,2.985463,1.7583333333333335,10.191126833333332
2013-03-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-04-01,2.4995968,3.336829,3.1987104,1.7583333333333335,10.793469533333333
2013-05-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-06-01,2.4995968,3.336829,3.1987104,1.7583333333333335,10.793469533333333
2013-07-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-08-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-09-01,2.4995968,3.336829,3.1987104,1.7583333333333335,10.793469533333333
2013-10-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2013-11-01,2.4995968,3.336829,3.1987104,1.7583333333333335,10.793469533333333
2013-12-01,2.5829165,3.4480565,3.305334,1.7583333333333335,11.094640333333333
2014-01-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-02-01,2.3379855,3.1532705,3.0150578,1.7583333333333335,10.264647133333334
2014-03-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-04-01,2.5049849,3.3785038,3.2304187,1.7583333333333335,10.872240733333333
2014-05-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-06-01,2.5049849,3.3785038,3.2304187,1.7583333333333335,10.872240733333333
2014-07-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-08-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-09-01,2.5049849,3.3785038,3.2304187,1.7583333333333335,10.872240733333333
2014-10-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2014-11-01,2.5049849,3.3785038,3.2304187,1.7583333333333335,10.872240733333333
2014-12-01,2.5884845,3.4911208,3.3380997,1.7583333333333335,11.176038333333333
2015-01-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-02-01,2.3558986,3.1974747,2.9261103,1.7583333333333335,10.237816933333333
2015-03-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-04-01,2.524177,3.4258657,3.135118,1.7583333333333335,10.843494033333332
2015-05-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-06-01,2.524177,3.4258657,3.135118,1.7583333333333335,10.843494033333332
2015-07-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-08-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-09-01,2.524177,3.4258657,3.135118,1.7583333333333335,10.843494033333332
2015-10-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2015-11-01,2.524177,3.4258657,3.135118,1.7583333333333335,10.843494033333332
2015-12-01,2.6083164,3.5400612,3.239622,1.7583333333333335,11.146332933333333
2016-01-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-02-01,2.5174205,3.3159664,2.8732378,1.7583333333333335,10.464958033333334
2016-03-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-04-01,2.604228,3.4303102,2.9723148,1.7583333333333335,10.765186333333332
2016-05-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-06-01,2.604228,3.4303102,2.9723148,1.7583333333333335,10.765186333333332
2016-07-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-08-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-09-01,2.604228,3.4303102,2.9723148,1.7583333333333335,10.765186333333332
2016-10-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2016-11-01,2.604228,3.4303102,2.9723148,1.7583333333333335,10.765186333333332
2016-12-01,2.6910355,3.5446537,3.0713923,1.7583333333333335,11.065414833333332
2017-01-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-02-01,2.4327207,3.2825608,2.8663948,1.7583333333333335,10.340009633333333
2017-03-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-04-01,2.6064863,3.5170293,3.0711372,1.7583333333333335,10.952986133333333
2017-05-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-06-01,2.6064863,3.5170293,3.0711372,1.7583333333333335,10.952986133333333
2017-07-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-08-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-09-01,2.6064863,3.5170293,3.0711372,1.7583333333333335,10.952986133333333
2017-10-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2017-11-01,2.6064863,3.5170293,3.0711372,1.7583333333333335,10.952986133333333
2017-12-01,2.6933692,3.6342635,3.1735082,1.7583333333333335,11.259474233333332
2018-01-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-02-01,2.4679122,3.3432019,2.8184853,1.7583333333333335,10.387932733333333
2018-03-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-04-01,2.6441922,3.582002,3.0198057,1.7583333333333335,11.004333233333334
2018-05-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-06-01,2.6441922,3.582002,3.0198057,1.7583333333333335,11.004333233333334
2018-07-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-08-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-09-01,2.6441922,3.582002,3.0198057,1.7583333333333335,11.004333233333334
2018-10-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2018-11-01,2.6441922,3.582002,3.0198057,1.7583333333333335,11.004333233333334
2018-12-01,2.732332,3.7014024,3.1204662,1.7583333333333335,11.312533933333334
2019-01-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-02-01,2.4677563,3.333565,2.8412175,1.7583333333333335,10.400872133333333
2019-03-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-04-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-05-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-06-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-07-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-08-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-09-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-10-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-11-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-12-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2020-01-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-02-01,2.5559506,3.4429693,2.9668353,1.7583333333333335,10.724088533333333
2020-03-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-04-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-05-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-06-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-07-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-08-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-09-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-10-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-11-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-12-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2021-01-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-02-01,2.4680927,3.3152442,2.8884337,1.7583333333333335,10.430103933333333
2021-03-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-04-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-05-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-06-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-07-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-08-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-09-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-10-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-11-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-12-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2022-01-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-02-01,2.4685965,3.3065572,2.9129376,1.7583333333333335,10.446424633333333
2022-03-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-04-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-05-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-06-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-07-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-08-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-09-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-10-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-11-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-12-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2023-01-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-02-01,2.4693334,3.298184,2.9380524,1.7583333333333335,10.463903133333332
2023-03-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-04-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-05-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-06-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-07-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-08-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-09-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-10-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-11-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-12-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2024-01-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-02-01,2.5585341,3.4076276,3.0696397,1.7583333333333335,10.794134733333333
2024-03-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-04-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-05-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-06-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-07-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-08-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-09-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-10-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-11-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-12-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2025-01-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-02-01,2.4715302,3.2823753,2.9901628,1.7583333333333335,10.502401633333333
2025-03-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-04-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-05-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-06-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-07-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-08-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-09-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-10-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2025-11-01,2.6480684,3.5168307,3.2037456,1.7583333333333335,11.126978033333332
2025-12-01,2.7363372,3.6340585,3.310537,1.7583333333333335,11.439266033333332
2026-01-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-02-01,2.473006,3.27494,3.0171824,1.7583333333333335,10.523461733333333
2026-03-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-04-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-05-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-06-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-07-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-08-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-09-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-10-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
2026-11-01,2.6496491,3.5088644,3.232695,1.7583333333333335,11.149541833333332
2026-12-01,2.737971,3.6258266,3.3404522,1.7583333333333335,11.462583133333332
